project,SBS_builds,SBS_delay,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
cloud_controller_ng.csv,5.506883604505630,18.0,73.09136420525660,2.0,4,79.09887359199000,2.0,4,77.59699624530660,4.0,8
cloudify.csv,5.2773737793476000,94.0,51.52711406607110,2.0,4,55.682526490754200,4.0,8,47.78724288385620,4.0,8
concerto.csv,1.3484123531970400,63.0,46.75946063505870,2.0,4,45.67203131796430,4.0,8,43.14919530230540,4.0,8
fog.csv,10.204814947898000,22.0,78.33273445921670,2.0,4,89.18433345310820,1.0,2,83.00395256917000,4.0,8
geoserver.csv,25.630444750114600,13.0,98.57863365428700,2.0,4,109.62861072902300,1.0,2,108.16139385602900,4.0,8
gradle.csv,0.8410428931875530,61.0,42.38856181665270,2.0,4,38.968320717689900,4.0,8,37.67872161480240,4.0,8
graylog2-server.csv,0.1423149905123340,797.0,32.77988614800760,1.5,4,20.58823529411770,8.0,16,19.734345351043600,8.0,16
heroku.csv,0.8169149447381070,132.0,55.79048534358480,2.0,4,59.53868332532440,4.0,8,54.34887073522350,4.0,8
jruby.csv,36.87900398887950,9.0,102.562552882872,2.0,4,115.35114227003500,1.0,2,112.28091381602800,4.0,8
loomio.csv,6.605065023956190,24.0,72.79260780287470,2.0,4,83.67556468172490,2.0,4,76.18069815195070,4.0,8
metasploit-framework.csv,0.6578947368421050,127.5,37.10526315789470,1.5,4,28.67105263157900,7.5,16,27.80263157894740,7.5,16
opal.csv,1.3883532587736200,43.5,45.39143848823760,2.0,4,43.30890860007710,4.0,8,41.53490165831080,4.0,8
open-build-service.csv,4.736275565123790,24.0,69.24111948331540,1.5,4,77.69106566200220,1.5,4,73.22389666307860,4.0,8
orbeon-forms.csv,24.953789279112800,46.0,83.59519408502770,1.5,4,101.29390018484300,0.5,2,88.4011090573013,4.0,8
puppet.csv,0.6396588486140730,734.5,37.3134328358209,2.0,4,28.784648187633300,8.0,16,27.84648187633260,8.0,16
rails.csv,9.6030004953648,28.0,74.14195739862710,2.0,4,85.86087325737740,2.0,4,77.92088316467340,4.0,8
rubinius.csv,9.517861603797150,16.0,83.06270297277040,2.0,4,92.3807144641519,1.0,2,89.30801898576070,4.0,8
sonarqube.csv,3.1002847200253100,69.0,57.9247073710851,2.0,4,63.23948117684280,2.0,4,57.89307181271750,4.0,8
sufia.csv,0.974745237040319,95.0,51.26273814798410,2.0,4,52.32609658839170,4.0,8,48.6929552503323,4.0,8
vagrant.csv,1.3837410427477100,158.0,39.04126513466770,2.0,4,32.5920434890042,8.0,16,30.318754633061500,8.0,16